Main(),Actions,{TypeError('list_users() takes 0 positional arguments but 2 were given')},Failure,2025-08-27T16:16:10.002894+00:00
IAM,Test-User,Username listed,Success,2025-08-27T16:19:13.198826+00:00
IAM,user-adeoye,Username listed,Success,2025-08-27T16:19:13.199567+00:00
IAM,Test-User,Username listed,Success,2025-08-27T16:19:43.891461+00:00
IAM,user-adeoye,Username listed,Success,2025-08-27T16:19:43.892095+00:00
IAM,user-adeoye,List User Access keys,Success,2025-08-27T16:40:15.763291+00:00
IAM,user-adeoye,List User Access keys,Success,2025-08-27T16:40:15.764635+00:00
IAM,Test-User,List User Access keys,Success,2025-08-27T16:42:25.152006+00:00
IAM,Test-User,List User Access keys,Success,2025-08-27T16:42:25.153838+00:00
IAM,Test-User,Deleting-old-Access-Key,Success,2025-08-27T16:44:23.123954+00:00
IAM,Test-User,Deleting-old-Access-Key,Success,2025-08-27T16:44:23.399885+00:00
Main(),Actions,"{UnboundLocalError(""cannot access local variable 'username' where it is not associated with a value"")}",Failure,2025-08-27T16:49:45.542070+00:00
Main(),Actions,"{UnboundLocalError(""cannot access local variable 'username' where it is not associated with a value"")}",Failure,2025-08-27T16:51:19.546317+00:00
Main(),Actions,"{UnboundLocalError(""cannot access local variable 'username' where it is not associated with a value"")}",Failure,2025-08-27T16:52:49.672643+00:00
IAM,Test-User,List User Access Keys,Empty,2025-08-27T16:54:54.058570+00:00
IAM,Test-User,List User Access Keys,Empty,2025-08-27T16:55:22.985013+00:00
IAM,Test-User,List User Access Keys,Empty,2025-08-27T16:55:44.846307+00:00
Main(),Actions,{TypeError('list_all_buckets() takes 1 positional argument but 2 were given')},Failure,2025-08-27T16:58:16.505481+00:00
s3,my-test-boto3-bucket-2025,Listing s3 buckets,Success,2025-08-27T17:05:55.355615+00:00
Main(),Actions,"{AttributeError(""'Namespace' object has no attribute 'local_path'"")}",Failure,2025-08-27T17:13:38.032899+00:00
Main(),Actions,"{AttributeError(""'Namespace' object has no attribute 'local_path'"")}",Failure,2025-08-27T17:15:14.440100+00:00
Main(),Actions,"{AttributeError(""'Namespace' object has no attribute 'local_path'"")}",Failure,2025-08-27T17:20:35.135055+00:00
S3,my-test-boto3-bucket-2025,upload-file,Success,2025-08-27T17:26:06.063979+00:00
S3,my-test-boto3-bucket-2025,upload-file,Success,2025-08-27T17:26:06.956139+00:00
S3,my-test-boto3-bucket-2025,file-added-to-deletelist,Success,2025-08-27T17:34:31.137103+00:00
